question_number,category,clue,gold_answer,predicted_title,top_score,correct_at_1,reciprocal_rank_top_10,top_10_titles
13,CEMETERIES,The mast from the USS Maine is part of the memorial to the ship & crew at this national cemetery,Arlington National Cemetery|Arlington Cemetery,USS Arizona Memorial,83.2098,False,0.0,USS Arizona Memorial | Thomas W. Lawson (ship) | Santa María (ship) | Madras War Cemetery | Sailing ship | USS Bonhomme Richard (LHD-6) | La Cambe German war cemetery | Woodlawn Memorial Park Cemetery | USS Cod (SS-224) | USS Congress (1776)
14,GOLDEN GLOBE WINNERS,In 2009: Joker on film,Heath Ledger,Golden Globe Award for Best Television Series – Drama,61.3313,False,0.0,Golden Globe Award for Best Television Series – Drama | Golden Globe Award for Best Television Series – Musical or Comedy | Hidden (2009 film) | 1988 in film | Ninaithale Inikkum (2009 film) | Golden Gloves (1961 film) | The Golden Fish (film) | The Emigrants (film) | The Player (film) | Victory (2009 film)
15,HISTORICAL HODGEPODGE,It was the peninsula fought over in the peninsular war of 1808 to 1814,Iberia|Iberian Peninsula,Vicente Genaro de Quesada,54.9054,False,0.3333333333333333,Vicente Genaro de Quesada | War of the Sixth Coalition | Iberian Peninsula | Hurd Peninsula | Korean Peninsula | Finnish War | Jutland Peninsula | Battle of Roliça | 1808 | Sõrve Peninsula
16,CONSERVATION,In 1980 China founded a center for these cute creatures in its bamboo-rich Wolong Nature Preserve,Panda|Giant panda,International Union for Conservation of Nature,70.323,False,0.0,International Union for Conservation of Nature | Houston Arboretum and Nature Center | Bamboo fly rod | Hungarian Ornithological and Nature Conservation Society | Engineered bamboo | Conservation movement | China Medical Board | Rockbridge State Nature Preserve | Wolong Nature Reserve | China at the 1980 Winter Olympics
17,'80s NO.1 HITMAKERS,"1988: ""Father Figure""",George Michael,Quad (figure skating),41.353,False,0.0,Quad (figure skating) | 80 | Poland at the 1988 Winter Olympics | 1901 European Figure Skating Championships | Gnomon (figure) | Figure of speech | Belgium at the 1988 Winter Olympics | Action figure | China at the 1988 Winter Olympics | 1988
18,AFRICAN-AMERICAN WOMEN,"In an essay defending this 2011 film, Myrlie Evers-Williams said, ""My mother was"" this film ""& so was her mother""",The Help,Medgar Evers,73.8511,False,0.0,Medgar Evers | Cycling at the 2011 Pan American Games – Women's Keirin | Cycling at the 2011 Pan American Games – Women's BMX | My Mother's Castle (film) | Mojo (African-American culture) | Cycling at the 2011 Pan American Games – Women's sprint | Judo at the 2011 Pan American Games – Women's 78 kg | Judo at the 2011 Pan American Games – Women's 63 kg | Judo at the 2011 Pan American Games – Women's 57 kg | Judo at the 2011 Pan American Games – Women's 52 kg
19,SERVICE ORGANIZATIONS,Father Michael McGivney founded this fraternal society for Catholic laymen in 1882,Knights of Columbus,Knights of Columbus,85.3986,True,1.0,Knights of Columbus | Service club | Catholic Youth Organization | Order of Chosen Friends | Lambda Theta Phi | Cartellverband | Pontifical Mission Societies | Laymen's Home Missionary Movement | Josephite Fathers | Order of the Arrow
20,CONSERVATION,"Early projects of the WWF, this organization, included work with the bald eagle & the red wolf",World Wide Fund|World Wide Fund for Nature,International Union for Conservation of Nature,58.2906,False,0.0,International Union for Conservation of Nature | Project Tiger | Red wolf | North Atlantic Salmon Conservation Organization | Civilian Conservation Corps | Hong Kong Dolphin Conservation Society | Red Falcons | Breira (organization) | Project planning | Interstate 99
21,CONSERVATION,"Indonesia's largest lizard, it's protected from poachers, though we wish it could breathe fire to do the job itself",Komodo dragon,Compartmentalization (fire protection),64.6147,False,0.0,Compartmentalization (fire protection) | Lizard | Cape Grass Lizard | Conservation area | Breathing gas | Job in rabbinic literature | National Biodiversity Conservation Areas | Wildland fire tender | Special Area of Conservation | Urea breath test
22,1920s NEWS FLASH!,"Nov. 28, 1929! This man & his chief pilot Bernt Balchen fly to South Pole! Yowza! You'll be an admirable admiral, sir!",Richard Byrd|Richard E. Byrd,Hopfner HV-4/28,68.0209,False,0.0,"Hopfner HV-4/28 | 1929 | Test pilot | Lee Archer (pilot) | Flashing Red | Flag of New South Wales | 1920s | George Hyde (admiral) | Keith Park | Penrith, New South Wales"
23,CEMETERIES,"On May 5, 1878 Alice Chambers was the last person buried in this Dodge City, Kansas cemetery",Boot Hill,"List of people from Dodge City, Kansas",90.9144,False,0.0,"List of people from Dodge City, Kansas | Dodge City (1939 film) | Kansas City jazz | Athletic Park (Kansas City) | Kansas City, Missouri | Downtown Kansas City | Kansas City Royals | Sporting Kansas City | Cathedral of Saint Peter (Kansas City, Kansas) | Kansas City Ballet"
24,CAMBODIAN HISTORY & CULTURE,"The Royal Palace grounds feature a statue of King Norodom, who in the late 1800s was compelled to first put his country under the control of this European power; of course, it was sculpted in that country",France,Norodom Buppha Devi,107.8756,False,0.0,Norodom Buppha Devi | Ujjayanta Palace | Kangla Palace | History of Cambodia | Monbijou Palace | History of the Royal Navy | 1800s (decade) | Reamker | Summer Palace | Greek Royal Family
25,HISTORICAL HODGEPODGE,In the 400s B.C. this Chinese philosopher went into exile for 12 years,Confucius,Chinese classics,50.9649,False,0.0,Chinese classics | Exile | Chinese philosophy | 400 | Chinese mythology | Chinese astrology | 400 BC | Chinese calendar | American Philosophical Society | Chinese cuisine
26,AFRICAN-AMERICAN WOMEN,"Bessie Coleman, the first black woman licensed as a pilot, landed a street named in her honor at this Chicago airport",O'Hare|O'Hare International Airport,Bessie Coleman,144.3413,False,0.0,Bessie Coleman | List of African-American firsts | Edith S. Sampson | African-American history | Pilot (aeronautics) | African-American culture | African-American studies | Eunice W. Johnson | Chicago Midway International Airport | Mary Townsend Seymour
27,HISTORICAL HODGEPODGE,The Ammonites held sway in this Mideast country in the 1200s B.C. & the capital is named for them,Jordan,List of country names in various languages,54.6494,False,0.0,List of country names in various languages | List of national capitals and largest cities by country | Capital Country | 1200 | Capital of Norway | Capital of Germany | Gardabani (historic district) | Capital of the Netherlands | Historical African place names | Ammonoidea
28,HE PLAYED A GUY NAMED JACK RYAN IN...,"""The Sum of All Fears""; he also won a screenwriting Oscar for ""Good Will Hunting""",Ben Affleck,Jack Wagner (screenwriter),63.5347,False,0.0,"Jack Wagner (screenwriter) | Helen Hunt | Tim Ryan (rugby union) | Timmy Ryan | Everyman (play) | Fox hunting | Nolan Ryan | All Fours | Red (play) | Vera; or, The Nihilists"
29,POTPOURRI,"One of the N.Y. Times' headlines on this landmark 1973 Supreme Court decision was ""Cardinals shocked""",Roe v. Wade,Washington Supreme Court,77.9939,False,0.0,Washington Supreme Court | New York Supreme Court | Rhode Island Supreme Court | List of Supreme Court of Canada cases | 1973 Formula One season | Miller v. California | 2009 term per curiam opinions of the Supreme Court of the United States | Pollock v. Farmers' Loan & Trust Co. | Chief Justice of the Supreme Court of Puerto Rico | 2011 term opinions of the Supreme Court of the United States
30,I'M BURNIN' FOR YOU,"France's Philip IV--known as ""The Fair""--had Jacques De Molay, the last Grand Master of this order, burned in 1314",Knights Templar,Philip IV of France,135.2076,False,0.5,Philip IV of France | Knights Templar | Henry IV of France | Philip V of France | Charles IV of France | Philip IV of Spain | Ferdinand IV of Castile | Louis XIII of France | Roman Catafalque for Philip IV of Spain | Philip VI of France
31,STATE OF THE ART MUSEUM (Alex: We'll give you the museum. You give us the state.),The Georgia O'Keeffe Museum,New Mexico,Art museum,65.4036,False,0.0,"Art museum | Wichita Art Museum | Museum of Contemporary Art, Chicago | Maryhill Museum of Art | Museum of Modern Art | Metropolitan Museum of Art | Appleton Museum of Art | Utah Museum of Fine Arts | National Museum of Commercial Aviation | Cape Cod Museum of Art"
32,AFRICAN CITIES,The name of this largest Moroccan city combines 2 Spanish words,Casablanca,Name of Quebec City,54.3897,False,0.1,Name of Quebec City | Africanization | Moroccan hip hop | Spanish language in the Americas | Concepción | Esteban (name) | Catalina (name) | Andalusian Spanish | Historical African place names | Casablanca
33,NAME THE PARENT COMPANY,Jell-O,Kraft Foods,Jell-O,52.3976,False,0.0,Jell-O | Jelling stones | Dietrich Jells | List of company name etymologies | List of companies named after people | Holding company | Given name | H. J. Heinz Company | Borden (company) | Middle name
34,GOLDEN GLOBE WINNERS,2011: Chicago mayor Tom Kane,Kelsey Grammer,Golden Globe Award for Best Television Series – Drama,62.4398,False,0.0,"Golden Globe Award for Best Television Series – Drama | Golden Globe Award for Best Television Series – Musical or Comedy | Tom Wilkinson | San Francisco mayoral election, 2011 | Tom Kleinschmidt | Mayor of Stawell | 2011 Champions Tour | Chinatown, Chicago | Carol Kane | Golden Gloves"
35,THE RESIDENTS,"Title residence of Otter, Flounder, Pinto & Bluto in a 1978 comedy",Animal House,Animal House,52.679,True,1.0,"Animal House | Bluto | Flounder | Ford Pinto | Screwball comedy film | Holiday Hotel | Alternative comedy | Pelican Lake (Otter Tail County, Minnesota) | Comedy Central Presents | Spanish Constitution of 1978"
36,UCLA CELEBRITY ALUMNI,"Neurobiologist Amy Farrah Fowler on ""The Big Bang Theory"", in real life she has a Ph.D. in neuroscience from UCLA",Mayim Bialik,Amy Fowler,97.6256,False,0.5,Amy Fowler | Mayim Bialik | Big Bang nucleosynthesis | The Big Bang Theory (album) | Promi Big Brother (season 1) | Computational neuroscience | Big Bang theory | Neuroscience | Cognitive neuroscience | Amy Brenneman
37,NOTES FROM THE CAMPAIGN TRAIL,"In ""The Deadlocked Election of 1800"", James R. Sharp outlines the fall of this dueling vice president",Aaron Burr,Vice President of the United States,79.0806,False,0.1,"Vice President of the United States | George Clinton (vice president) | Vice President of the Gambia | List of Vice Presidents of India | Democratic Party vice presidential candidate selection, 2004 | List of duels | United States presidential election in South Dakota, 1988 | Vice | United States presidential election in Tennessee, 1988 | Aaron Burr"
38,"""TIN"" MEN",He served in the KGB before becoming president & then prime minister of Russia,Vladimir Putin|Putin,Prime Minister of France,85.2522,False,0.0,Prime Minister of France | Prime Minister of Rhodesia | Prime Minister of Greece | List of Prime Ministers of the United Arab Emirates | Deputy Prime Minister of Canada | Prime Minister of Denmark | Prime Minister of Bulgaria | List of Prime Ministers of the Netherlands | Prime Minister of Thailand | Prime Minister of the Netherlands
39,AFRICAN-AMERICAN WOMEN,"When asked to describe herself, she says first & foremost, she is Malia & Sasha's mom",Michelle Obama,List of African-American firsts,72.3881,False,0.5,List of African-American firsts | Michelle Obama | African-American studies | African-American history | African-American culture | Liz Malia | Sasha Pieterse | Mojo (African-American culture) | Ruth Ella Moore | Mary Townsend Seymour
40,POETS & POETRY,"She wrote, ""My candle burns at both ends... but, ah, my foes, and oh, my friends--it gives a lovely light""",Edna St. Vincent Millay,"Murder, She Wrote (season 1)",77.4337,False,0.0,"Murder, She Wrote (season 1) | Murder, She Wrote (season 4) | Murder, She Wrote (season 2) | Murder, She Wrote (season 3) | Candle | Burns supper | Murder, She Wrote (season 5) | Metaphysical poets | Mihri Hatun | My Best Friend's Wedding"
41,CAPITAL CITY CHURCHES (Alex: We'll give you the church. You tell us the capital city in which it is located.),"In this Finnish city, the Lutheran Cathedral, also known as Tuomiokirkko",Helsinki,"Christ Church Cathedral, Dublin",82.9162,False,0.0,"Christ Church Cathedral, Dublin | Bergen Cathedral | Finnish Orthodox Church | Evangelical Lutheran Church in America | Lutheran Church of Australia | American Association of Lutheran Churches | Cathedral | Glasgow Cathedral | Lutheran Church–Missouri Synod | Christ Lutheran Church (Highland, Wisconsin)"
42,NAME THE PARENT COMPANY,Milton Bradley games,Hasbro,Battleship (game),73.8267,False,0.0,"Battleship (game) | Microvision | Vectrex | Axis & Allies | Accolade (game company) | Milton, Ontario | The 3DO Company | Ankama Games | Anino Games | Milton"
43,OLD YEAR'S RESOLUTIONS,The Kentucky & Virginia resolutions were passed to protest these controversial 1798 acts of Congress,The Alien and Sedition Acts,Kentucky and Virginia Resolutions,128.063,False,0.0,"Kentucky and Virginia Resolutions | Second Continental Congress | Frankfort, Kentucky | Stamp Act 1765 | Copyright Act of 1790 | Governor of Kentucky | Continental Congress | Kentucky Derby | 67th United States Congress | Big Sandy River (Ohio River)"
44,'80s NO.1 HITMAKERS,"1983: ""Beat It""",Michael Jackson,80,38.8182,False,0.0,80 | 1983 in the United Kingdom | Beat Happening | 1983 BDO World Darts Championship | 1983 | Star 80 | Beat Forster | 1983 in film | 1983 Atlantic hurricane season | 1983 in aviation
45,GOLDEN GLOBE WINNERS,In 2009: Sookie Stackhouse,Anna Paquin,Golden Globe Award for Best Television Series – Drama,60.519,False,0.1,Golden Globe Award for Best Television Series – Drama | Golden Globe Award for Best Television Series – Musical or Comedy | 2009–10 Kent State Golden Flashes men's basketball team | IAAF Golden League | Golden Gloves | Golden Jubilee | Sweden in the Eurovision Song Contest 2009 | 2009 in Irish music | Joan Plowright | Anna Paquin
46,HISTORICAL HODGEPODGE,"This member of the Nixon & Ford cabinets was born in Furth, Germany in 1923",Henry Kissinger,Ford R. Bryan,51.2739,False,0.0,Ford R. Bryan | Cabinet of New Zealand | Richard Nixon | 1st government of Turkey | First Balkenende cabinet | Cabinet of the United Kingdom | Nixon (film) | Cabinet of the Netherlands | Nordli's Cabinet | United Kingdom cabinet committee
47,CAPITAL CITY CHURCHES (Alex: We'll give you the church. You tell us the capital city in which it is located.),"The High Kirk of St. Giles, where John Knox was minister",Edinburgh,John Knox,90.4308,False,0.0,"John Knox | St. John's Church (Bronx) | Stobo Kirk | St. John the Baptist Church, Mumbai | St. Joachim and St. John the Evangelist's Church (Beacon, New York) | St. Barnabas' Church (Bronx) | Church of Scotland | Glasgow Cathedral | St. John's Episcopal Church (Hartford, Connecticut) | St. John the Evangelist Catholic Church (Indianapolis, Indiana)"
48,UCLA CELEBRITY ALUMNI,"For the brief time he attended, he was a rebel with a cause, even landing a lead role in a 1950 stage production",James Dean,Rebel Without a Cause,66.3084,False,0.0,Rebel Without a Cause | Flight attendant | Celebrity | Celebrity sex tape | (29075) 1950 DA | Lead time | A Brief History of Time | Role | Richard Thomas (actor) | 1950s
49,NAME THE PARENT COMPANY,Fisher-Price toys,Mattel,Little People,63.9077,False,0.2,Little People | Toy Town Museum | Learning Express Toys | Tekno (toy manufacturer) | Mattel | Transformers (toy line) | Pricing objectives | Hasbro | Buzzy Bee | Circus World (store)
50,HISTORICAL QUOTES,"In a 1959 American kitchen exhibit in Moscow, he told Khrushchev, ""In America, we like to make life easier for women""",Richard Nixon|Nixon,American National Exhibition,103.5173,False,0.0,"American National Exhibition | Kitchen | Historical revisionism | Kitchener, Ontario | American Center in Moscow | Moscow | K Blows Top | Turkish Women's League of America | History of Moscow | Latin America"
51,POETS & POETRY,"One of his ""Tales of a Wayside Inn"" begins, ""Listen, my children, and you shall hear of the midnight ride of Paul Revere""",Henry Wadsworth Longfellow,Paul Revere,69.5747,False,0.0,Paul Revere | Metaphysical poets | Paul Revere & the Raiders | Mother Goose | The Tale of Melibee | Six Dynasties poetry | Modernist poetry in English | English poetry | Objectivist poets | Paul Fort
52,NOTES FROM THE CAMPAIGN TRAIL,This bestseller about problems on the McCain-Palin ticket became an HBO movie with Julianne Moore,Game Change,Game Change,78.5543,True,1.0,"Game Change | Ticket machine | Movie theater | Trail | Michael Moore | Ed O'Callaghan | Tennis on HBO | Democratic Party vice presidential candidate selection, 2004 | Political campaign | Great Baikal Trail"
53,THAT 20-AUGHTS SHOW,"A 2-part episode of ""JAG"" introduced this Mark Harmon drama",NCIS,List of The X-Files episodes,54.0539,False,0.0,List of The X-Files episodes | List of Covert Affairs episodes | Japanese television drama | Harmonic analysis | List of Body of Proof episodes | Radio drama in Japan | Harmonic series (music) | List of Being Human episodes | The New Loretta Young Show | The Last Show (The Mary Tyler Moore Show)
54,AFRICAN CITIES,This port is the southernmost of South Africa's 3 capitals,Cape Town,Port Elizabeth,72.3976,False,0.125,Port Elizabeth | Flag of South Africa | National Library of South Africa | Port Elizabeth Airport | Demographics of South Africa | Music of South Africa | Culture of South Africa | Cape Town | Immigration to South Africa | Geography of South Africa
55,THE QUOTABLE KEATS,"Keats was quoting this Edmund Spenser poem when he told Shelley to ""'load every rift' of your subject with ore""",The Faerie Queene,Edmund Spenser,92.9013,False,0.125,Edmund Spenser | Hyperion (poem) | Ozymandias | John Keats | Hymn to Intellectual Beauty | La Belle Dame sans Merci | Ode to the West Wind | The Faerie Queene | Edmund Blunden | Hero and Leander (poem)
56,THE QUOTABLE KEATS,"In an 1819 letter Keats wrote that this lord & poet ""cuts a figure, but he is not figurative""",Lord Byron,John Keats,80.2039,False,0.25,John Keats | La Belle Dame sans Merci | Hyperion (poem) | Lord Byron | Metaphysical poets | Patrick Hamilton (poet) | 1819 | Objectivist poets | Henry Kendall (poet) | Lord Alfred Douglas
57,GREEK FOOD & DRINK,"This clear Greek liqueur is quite potent, so it's usually mixed with water, which turns it white & cloudy",Ouzo,Liqueur,98.5835,False,0.5,Liqueur | Ouzo | Tonic water | White Russian (cocktail) | Squash (drink) | Drinking | Soft drink | Eggnog | Rose water | Energy drink
58,OLD YEAR'S RESOLUTIONS,"Feb. 1, National Freedom Day, is the date in 1865 when a resolution sent the states an amendment ending this",Slavery|Slavery in the United States,World Press Freedom Day,74.3847,False,0.0,World Press Freedom Day | Freedom of religion in the United States | United Nations Security Council Resolution 794 | Titles of Nobility Amendment | List of national independence days | United Nations Security Council Resolution 1963 | United Nations Security Council Resolution 1769 | Equal Rights Amendment | Kentucky and Virginia Resolutions | United Nations Security Council Resolution 349
59,RANKS & TITLES,This person is the queen's representative in Canada; currently the office is held by David Johnston,Governor General of Canada,Commodore (rank),67.882,False,0.3333333333333333,Commodore (rank) | List of current Canadian first ministers | Governor General of Canada | Queen consort | David A. Dodge | Chief warrant officer | Order of Military Merit (Canada) | Warrant officer | Ranks and insignia of the Ordnungspolizei | Atlantic Canada's 100 Greatest Books
60,"""TIN"" MEN","He earned the ""fifth Beatle"" nickname by producing all of the Beatles' albums",George Martin,Fifth Beatle,87.1157,False,0.0,Fifth Beatle | The Beatles (album) | 1 (The Beatles album) | Revolver (Beatles album) | Love (The Beatles album) | Beatles for Sale | With the Beatles | Of Mice & Men (album) | The Grey Album | Twenty (Boyz II Men album)
61,NEWSPAPERS,"Early in their careers, Mark Twain & Bret Harte wrote pieces for this California city's Chronicle",San Francisco,Bret Harte,99.6064,False,0.0,Bret Harte | Bret Harte Union High School | Bret Hart Montreal | Houston Chronicle | Bret Harte High School | A Defence of General Funston | Chronicle | A Connecticut Yankee (musical) | Southern California InFocus | Bien (newspaper)
62,POTPOURRI,Large specimens of this marsupial can leap over barriers 6 feet high,Kangaroo,Marsupial mole,60.2458,False,0.0,Marsupial mole | Marsupial | Feet forwards motorcycle | Thames Barrier | Great Barrier Island | List of giant squid specimens and sightings | Barrier island | High Luminosity Large Hadron Collider | List of megamouth shark specimens and sightings | Israeli West Bank barrier
63,GREEK FOOD & DRINK,"Because it's cured & stored in brine, this crumbly white cheese made from sheep's milk is often referred to as pickled cheese",Feta,Feta,140.884,True,1.0,Feta | Gouda cheese | Pecorino | Mozzarella | Wensleydale cheese | Casu marzu | Caerphilly cheese | Sheep | Ricotta | Stilton cheese
64,1920s NEWS FLASH!,"1927! Gene Tunney takes a long count in the squared circle but rises to defeat this ""Manassa Mauler""! Howzabout that!",Jack Dempsey,New Zealand at the 1920 Summer Olympics,58.7855,False,0.1111111111111111,"New Zealand at the 1920 Summer Olympics | It (1927 film) | Duffy Square | 1920s | Victoria Square, Christchurch | Gene expression | Red Square | Modern Western square dance | Jack Dempsey | MIM-46 Mauler"
65,RANKS & TITLES,"Italian for ""leader"", it was especially applied to Benito Mussolini",Duce,Duce,99.1409,True,1.0,"Duce | Romano Mussolini | Predappio | Alessandra Mussolini | Italian Army ranks | Clara Petacci | Italian Empire | Italian honorifics | Italian constitutional referendum, 1946 | Fascist and anti-Fascist violence in Italy (1919–26)"
66,STATE OF THE ART MUSEUM (Alex: We'll give you the museum. You give us the state.),The Kalamazoo Institute of Arts,Michigan,Art museum,68.8817,False,0.0,"Art museum | Utah Museum of Fine Arts | Museum of Contemporary Art, Chicago | Metropolitan Museum of Art | Maryhill Museum of Art | Wichita Art Museum | San Francisco Museum of Modern Art | Portland Institute for Contemporary Art | Museum of Modern Art | Whitney Museum of American Art"
67,STATE OF THE ART MUSEUM (Alex: We'll give you the museum. You give us the state.),The Sun Valley Center for the Arts,Idaho,Walker Art Center,73.9681,False,0.0,"Walker Art Center | Art museum | Museum of Contemporary Art, Chicago | Cape Cod Museum of Art | Wichita Art Museum | Maryhill Museum of Art | Utah Museum of Fine Arts | Metropolitan Museum of Art | Collins Center for the Arts | New York State Museum"
68,"""TIN"" MEN",You can't mention this shortstop without mentioning his double-play associates Evers & Chance,Joe Tinker,Double play,69.8512,False,0.0,Double play | Triple play | Jim Snyder (shortstop) | Shortstop | Kam Tin | The Ragged Trousered Philanthropists (play) | Huanuni tin mine | Double (association football) | Sha Tin District | Ernie Johnson (shortstop)
69,NEWSPAPERS,"In 1840 Horace Greeley began publishing ""The Log Cabin"", a weekly campaign paper in support of this Whig candidate",William Henry Harrison,Horace Greeley,128.7065,False,0.0,Horace Greeley | Echo Weekly | The Phoenix (newspaper) | The Weekly Observer | The Weekly Sillimanian | Patrick Robert Sydnor Log Cabin | History of British newspapers | Pulse Niagara | Il Risorgimento (newspaper) | The Saguache Crescent
70,I'M BURNIN' FOR YOU,"Pierre Cauchon, Bishop of Beauvais, presided over the trial of this woman who went up in smoke May 30, 1431",Joan of Arc|Jeanne d'Arc,Roman Catholic Diocese of Beauvais,79.7343,False,0.0,Roman Catholic Diocese of Beauvais | 1431 | Beauvais | Trial by ordeal | Smoke | Passive smoking | Nuremberg trials | Bishop of Beauvais | Jury trial | Anwar Ibrahim sodomy trials
71,"COMPLETE DOM-INATION(Alex: Not ""domination."")",This Wisconsin city claims to have built the USA's only granite dome,Madison,Granite Mountain (Texas),62.1864,False,0.0,"Granite Mountain (Texas) | Corcovado | Dome of the Rock | Madison, Wisconsin | Wisconsin Dells, Wisconsin | Dome Cinema, Worthing | Usa, Ōita | Granite City, British Columbia | Socialist Party USA | 411 East Wisconsin Center"
72,NEWSPAPERS,This Georgia paper is known as the AJC for short,The Atlanta Journal-Constitution,The Atlanta Journal-Constitution,60.0637,True,1.0,The Atlanta Journal-Constitution | Rome News-Tribune | List of newspapers in Hong Kong | Paper marbling | The Phoenix (newspaper) | Wax paper | Carbon paper | Electronic paper | Epigram (newspaper) | History of British newspapers
73,AFRICAN CITIES,Wooden 2-story verandas in this Liberian capital are an architectural link to the U.S. south,Monrovia,Americo-Liberian,71.0267,False,0.1111111111111111,Americo-Liberian | Louise Carver (South African singer) | List of cities in South Korea | List of South African poets | Architecture of India | Culture of South Africa | Hijack Stories | South African Broadcasting Corporation | Monrovia | Music of South Africa
74,"COMPLETE DOM-INATION(Alex: Not ""domination."")","This New Orleans venue reopened Sept. 25, 2006",Mercedes-Benz Superdome|The Superdome,New Orleans Jazz Museum,61.1474,False,0.0,"New Orleans Jazz Museum | Children's Hospital of New Orleans | Snug Harbor (jazz club) | New Orleans Saints | Saenger Theatre (New Orleans, Louisiana) | Storyville, New Orleans | New Orleans rhythm and blues | Green Light New Orleans | History of the New Orleans Pelicans | New Orleans Rhythm Kings"
